Simulation_number,Number_of_classes,BLRT_p_value
311,4,0
311,5,0.004
311,6,0.524
312,1,0
312,2,0
312,3,0
312,4,0
312,5,0.004
312,6,0.738
313,1,0
313,2,0
313,3,0
313,4,0
313,5,0.158
313,6,0.548
314,1,0
314,2,0
314,3,0
314,4,0
314,5,0.106
314,6,0.108
315,1,0
315,2,0
315,3,0
315,4,0
315,5,0.034
315,6,0.046
316,1,0
316,2,0
316,3,0
316,4,0
316,5,0.032
316,6,0.164
317,1,0
317,2,0
317,3,0
317,4,0
317,5,0.006
317,6,0.696
318,1,0
318,2,0
318,3,0
318,4,0
318,5,0
318,6,0.128
319,1,0
319,2,0
319,3,0
319,4,0
319,5,0.27
319,6,0.3
320,1,0
320,2,0
320,3,0
320,4,0
320,5,0.04
320,6,0.08599999999999999
321,1,0
321,2,0
321,3,0
321,4,0
321,5,0.376
321,6,0.19
322,1,0
322,2,0
322,3,0
322,4,0
322,5,0.08
322,6,0.266
323,1,0
323,2,0
323,3,0
323,4,0
323,5,0.012
323,6,0.69
324,1,0
324,2,0
324,3,0
324,4,0
324,5,0
324,6,0.6879999999999999
325,1,0
325,2,0
325,3,0
325,4,0
325,5,0.286
325,6,0.286
326,1,0
326,2,0
326,3,0
326,4,0
326,5,0.32
326,6,0.826
327,1,0
327,2,0
327,3,0
327,4,0
327,5,0.1
327,6,0.096
328,1,0
328,2,0
328,3,0
328,4,0
328,5,0.004
328,6,0.578
329,1,0
329,2,0
329,3,0
329,4,0
329,5,0.014
329,6,0.748
330,1,0
330,2,0
330,3,0
330,4,0
330,5,0.192
330,6,0.838
331,1,0
331,2,0
331,3,0
331,4,0
331,5,0.002
331,6,0.764
332,1,0
332,2,0
332,3,0
332,4,0
332,5,0.366
332,6,0.626
333,1,0
333,2,0
333,3,0
333,4,0
333,5,0
333,6,0.096
334,1,0
334,2,0
334,3,0
334,4,0
334,5,0.076
334,6,0.85
335,1,0
335,2,0
335,3,0
335,4,0
335,5,0.568
335,6,0.766
336,1,0
336,2,0
336,3,0
336,4,0
336,5,0.162
336,6,0.844
337,1,0
337,2,0
337,3,0
337,4,0
337,5,0.17
337,6,0.566
338,1,0
338,2,0
338,3,0
338,4,0
338,5,0.066
338,6,0.236
339,1,0
339,2,0
339,3,0
339,4,0
339,5,0.008
339,6,0.488
340,1,0
340,2,0
340,3,0
340,4,0
340,5,0.16
340,6,0.65
341,1,0
341,2,0
341,3,0
341,4,0
341,5,0.172
341,6,0.748
342,1,0
342,2,0
342,3,0
342,4,0
342,5,0.088
342,6,0.842
343,1,0
343,2,0
343,3,0
343,4,0
343,5,0.008
343,6,0.06800000000000001
344,1,0
344,2,0
344,3,0
